City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Atuona,PF,78.85,overcast clouds,-9.8,-139.0333,Villa Enata
4,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
5,Beibei,CN,81.07,broken clouds,29.8256,106.4339,FX Hotel Chongqing at Beibei Southwest University
17,Busselton,AU,78.31,clear sky,-33.65,115.3333,Observatory Guest House
26,Rikitea,PF,78.84,clear sky,-23.1203,-134.9692,People ThankYou
27,Vaini,TO,86.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
33,Hilo,US,80.33,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
37,Lorengau,PG,85.05,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
38,Makakilo City,US,82.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
39,Paciran,ID,84.42,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
46,Arraial Do Cabo,BR,77.45,clear sky,-22.9661,-42.0278,Pousada Porto Praia
50,Keti Bandar,PK,77.81,clear sky,24.1447,67.4497,Haji laloo memon house
53,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
57,Port Blair,IN,84.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
58,Gizo,SB,84.78,broken clouds,-8.103,156.8419,Imagination Island
59,Jieshi,CN,77.95,clear sky,22.8134,115.8257,Yuehai Hotel
64,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
67,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
69,Namatanai,PG,86.5,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
72,Loanda,AO,78.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
73,Victoria,HK,78.85,clear sky,22.2855,114.1577,Mini Hotel Central
74,Butaritari,KI,81.95,few clouds,3.0707,172.7902,Isles Sunset Lodge
75,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Paradise Inn
76,Hithadhoo,MV,82.06,clear sky,-0.6,73.0833,Scoop Guest House
80,Ballina,AU,78.98,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
86,Vao,NC,79.66,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
87,Gigmoto,PH,82.27,broken clouds,13.7796,124.39,Cj's Travellers Inn
92,Axim,GH,79.5,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
99,Piacabucu,BR,77.76,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
103,Padang,ID,86.05,broken clouds,-0.9492,100.3543,Mercure Padang
104,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
106,Kavaratti,IN,81.99,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
107,Sao Joao Da Barra,BR,78.03,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
108,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
113,Marsh Harbour,BS,75.74,clear sky,26.5412,-77.0636,Abaco Beach Resort
114,Nanakuli,US,84.15,clear sky,21.3906,-158.1547,Camp Pālehua
120,Saint-Philippe,RE,76.21,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
127,Koumac,NC,83.48,scattered clouds,-20.5667,164.2833,Le Monitel
143,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
147,Rabaul,PG,83.84,overcast clouds,-4.1967,152.1721,Rabaul Hotel
148,Narrabri,AU,84.52,scattered clouds,-30.3167,149.7833,Crossroads Hotel
152,Cayenne,GF,79.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
163,Bani,DO,77.86,few clouds,18.2833,-70.3333,Hospedaje Henriquez
164,Kokopo,PG,85.91,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
171,Tual,ID,83.25,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
176,Sassandra,CI,77.7,few clouds,4.95,-6.0833,la terrasse
177,Dingle,PH,87.39,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
181,Puerto Ayora,EC,76.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
200,Ternate,ID,85.62,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
207,Tezu,IN,85.77,broken clouds,27.9167,96.1667,Circuit House
211,Nata,PA,75.4,clear sky,8.3333,-80.5167,Rey David
217,Esperance,AU,80.44,overcast clouds,-33.8667,121.9,Hospitality Esperance
218,Tevaitoa,PF,81.82,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
238,Cap Malheureux,MU,80.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
242,Carnarvon,AU,82.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
