City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Atuona,PF,-9.8,-139.0333,78.85,74,100,16.4,overcast clouds
Nikolskoye,RU,59.7035,30.7861,31.87,97,100,4.32,overcast clouds
Longyearbyen,SJ,78.2186,15.6401,4.84,92,0,9.22,clear sky
Saskylakh,RU,71.9167,114.0833,-12.64,91,100,3.74,overcast clouds
Kapaa,US,22.0752,-159.319,80.58,74,40,10.36,scattered clouds
Beibei,CN,29.8256,106.4339,81.07,51,70,2.06,broken clouds
Albany,US,42.6001,-73.9662,43.63,53,100,8.08,overcast clouds
Mataura,NZ,-46.1927,168.8643,60.48,60,68,9.48,broken clouds
Punta Arenas,CL,-53.15,-70.9167,42.91,65,0,13.8,clear sky
Laguna,US,38.421,-121.4238,62.89,38,0,5.75,clear sky
Bluff,NZ,-46.6,168.3333,60.8,70,18,16.22,few clouds
Tromso,NO,69.6496,18.957,41.38,81,100,2.3,overcast clouds
Canapi,BR,-9.1174,-37.6012,72.39,71,96,3.58,overcast clouds
Havoysund,NO,70.9963,24.6622,35.31,99,100,6.02,snow
Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,94,100,8.97,overcast clouds
Korla,CN,41.7597,86.1469,52.16,30,98,3.89,overcast clouds
Khatanga,RU,71.9667,102.5,-19.52,97,98,5.95,overcast clouds
Busselton,AU,-33.65,115.3333,78.31,64,0,13.65,clear sky
Prerov,CZ,49.4551,17.4509,30.96,46,0,3.13,clear sky
Umm Lajj,SA,25.0213,37.2685,63.46,52,2,18.39,clear sky
Port Alfred,ZA,-33.5906,26.891,71.46,92,98,11.23,overcast clouds
Kargasok,RU,59.0556,80.8572,-8.19,100,98,2.91,overcast clouds
Mayo,US,38.8876,-76.5119,50.13,87,0,12.66,clear sky
Cabo San Lucas,MX,22.8909,-109.9124,68.5,75,0,9.22,clear sky
Dikson,RU,73.5069,80.5464,-5.58,89,100,23.87,overcast clouds
Coos Bay,US,43.3665,-124.2179,46.99,93,0,0.0,clear sky
Rikitea,PF,-23.1203,-134.9692,78.84,67,1,3.24,clear sky
Vaini,TO,-21.2,-175.2,86.16,84,75,9.22,broken clouds
Khani,GE,41.9563,42.9566,24.37,95,100,3.38,light snow
Roald,NO,62.5833,6.1333,48.34,29,3,17.27,clear sky
Henties Bay,NA,-22.116,14.2845,66.4,89,81,4.94,broken clouds
Dauphin,CA,51.1494,-100.0502,-2.06,60,0,11.5,clear sky
Hobart,AU,-42.8794,147.3294,73.26,45,20,4.61,few clouds
Hilo,US,19.7297,-155.09,80.33,69,0,6.91,clear sky
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,69,75,8.95,broken clouds
Sturgis,US,41.7992,-85.4192,24.93,63,0,8.05,clear sky
Hermanus,ZA,-34.4187,19.2345,68.81,82,0,3.83,clear sky
Lorengau,PG,-2.0226,147.2712,85.05,68,31,4.25,scattered clouds
Makakilo City,US,21.3469,-158.0858,82.72,51,0,13.8,clear sky
Paciran,ID,-6.8767,112.3761,84.42,71,100,3.09,overcast clouds
Fairbanks,US,64.8378,-147.7164,17.94,37,0,8.05,clear sky
Bilma,NE,18.6853,12.9164,66.97,20,46,11.95,scattered clouds
Ponta Do Sol,PT,32.6667,-17.1,64.06,71,79,1.66,broken clouds
Pevek,RU,69.7008,170.3133,5.45,75,0,1.83,clear sky
Egvekinot,RU,66.3167,-179.1667,18.91,63,0,8.52,clear sky
East London,ZA,-33.0153,27.9116,72.54,94,0,8.05,clear sky
Arraial Do Cabo,BR,-22.9661,-42.0278,77.45,88,0,24.18,clear sky
Payson,US,40.0444,-111.7321,36.88,32,100,0.0,overcast clouds
Bethel,US,41.3712,-73.414,43.9,93,52,3.8,broken clouds
Port Hardy,CA,50.6996,-127.4199,41.18,93,100,9.22,light rain
Keti Bandar,PK,24.1447,67.4497,77.81,65,10,9.1,clear sky
Luang Prabang,LA,19.8856,102.1347,91.26,48,29,3.04,scattered clouds
Pueblo Bello,CO,8.2041,-76.526,73.49,96,82,2.19,broken clouds
Mahebourg,MU,-20.4081,57.7,79.25,94,40,5.75,scattered clouds
Cape Town,ZA,-33.9258,18.4232,73.11,88,0,2.3,clear sky
Vibo Valentia,IT,38.6996,16.1274,32.59,71,34,6.13,scattered clouds
San Patricio,US,28.017,-97.5169,48.06,63,58,20.83,broken clouds
Port Blair,IN,11.6667,92.75,84.24,79,20,5.75,mist
Gizo,SB,-8.103,156.8419,84.78,63,63,1.92,broken clouds
Jieshi,CN,22.8134,115.8257,77.95,60,5,11.54,clear sky
Ust-Nera,RU,64.5667,143.2,6.39,90,84,3.22,broken clouds
Puerto Berrio,CO,6.4916,-74.4033,74.97,90,99,2.13,overcast clouds
Biograd Na Moru,HR,43.9433,15.4519,34.5,44,1,6.67,clear sky
Nova Olimpia,BR,-14.7972,-57.2881,73.15,99,100,3.67,heavy intensity rain
Souillac,MU,-20.5167,57.5167,79.18,94,40,5.75,scattered clouds
Radyvyliv,UA,50.1299,25.2558,25.74,56,83,2.84,broken clouds
Aykhal,RU,66.0,111.5,-6.95,91,100,2.44,overcast clouds
Vila Velha,BR,-20.3297,-40.2925,78.75,88,20,4.61,few clouds
Boyuibe,BO,-20.4167,-63.2833,62.62,85,100,8.16,overcast clouds
Namatanai,PG,-3.6667,152.4333,86.5,54,98,5.59,overcast clouds
Norman Wells,CA,65.282,-126.8329,-7.56,64,100,13.8,light snow
Khowst,AF,33.3833,69.8833,62.44,47,88,3.62,overcast clouds
Loanda,AO,-8.8368,13.2343,78.8,89,75,5.75,broken clouds
Victoria,HK,22.2855,114.1577,78.85,72,4,3.0,clear sky
Butaritari,KI,3.0707,172.7902,81.95,77,17,18.14,few clouds
Avarua,CK,-21.2078,-159.775,84.25,74,20,4.61,few clouds
Hithadhoo,MV,-0.6,73.0833,82.06,65,8,4.94,clear sky
Escuinapa,MX,22.85,-105.8,62.13,61,0,4.92,clear sky
Jamestown,US,42.097,-79.2353,29.52,71,100,8.05,light snow
Imbituba,BR,-28.24,-48.6703,71.82,93,100,14.9,light rain
Ballina,AU,-28.8667,153.5667,78.98,67,100,12.66,overcast clouds
Qaanaaq,GL,77.484,-69.3632,-14.82,81,19,6.04,few clouds
Beringovskiy,RU,63.05,179.3167,10.49,78,1,9.84,clear sky
Ust-Maya,RU,60.4167,134.5333,9.99,82,100,5.99,overcast clouds
Eureka,US,40.8021,-124.1637,51.67,83,33,1.48,scattered clouds
Castro,BR,-24.7911,-50.0119,64.15,97,100,2.68,overcast clouds
Vao,NC,-22.6667,167.4833,79.66,71,63,9.73,broken clouds
Gigmoto,PH,13.7796,124.39,82.27,81,76,5.35,broken clouds
Carroll,US,39.5501,-77.0164,47.64,80,0,10.36,clear sky
Ushuaia,AR,-54.8,-68.3,42.46,56,0,10.36,clear sky
Barrow,US,71.2906,-156.7887,-2.18,71,0,9.22,clear sky
Clyde River,CA,70.4692,-68.5914,-27.17,75,0,3.44,clear sky
Axim,GH,4.8699,-2.2405,79.5,87,29,5.06,scattered clouds
Vardo,NO,70.3705,31.1107,31.93,79,100,12.46,overcast clouds
Lewiston,US,44.1003,-70.2148,40.35,93,20,6.91,few clouds
Ancud,CL,-41.8697,-73.8203,57.22,93,0,2.8,clear sky
